No,Position,Keyword,Change,SD,Search Volume,URL,Location
1,12,"waterlooville local businesses",0,12,0,"https://www.waterlooville.co/garden-centers","English / United Kingdom"
2,22,"restaurants waterlooville",78,18,880,"https://www.waterlooville.co/restaurants","English / United Kingdom"
3,28,"painter decorator waterlooville",72,25,40,"https://www.waterlooville.co/painters","English / United Kingdom"
4,30,"waterlooville directory",48,17,0,"https://www.waterlooville.co/area/purbrook","English / United Kingdom"
5,50,"boiler service waterlooville",50,44,40,"https://www.waterlooville.co/plumbers","English / United Kingdom"
6,56,"plumber waterlooville",44,12,170,"https://www.waterlooville.co/plumbers","English / United Kingdom"
7,64,"waterlooville",36,23,33100,"https://www.waterlooville.co/areas","English / United Kingdom"
8,65,"waterlooville sainsburys",35,0,3600,"https://www.waterlooville.co/supermarkets","English / United Kingdom"
9,65,"waterlooville letting agents",35,29,880,"https://www.waterlooville.co/biz/a-j-eyre-and-sons-waterlooville-estate-agents","English / United Kingdom"
10,68,"dentist waterlooville",32,15,480,"https://www.waterlooville.co/biz/south-lane-dental","English / United Kingdom"
11,75,"waterlooville estate agents",25,6,1000,"https://www.waterlooville.co/letting-agents","English / United Kingdom"
12,"Not ranked","electrician waterlooville",100,15,90,"","English / United Kingdom"
13,"Not ranked","locksmith waterlooville",100,12,320,"","English / United Kingdom"
14,"Not ranked","chiropodist waterlooville",100,0,210,"","English / United Kingdom"
15,"Not ranked","waterlooville market",100,18,90,"","English / United Kingdom"
16,"Not ranked","secondary schools waterlooville",100,53,90,"","English / United Kingdom"
17,"Not ranked","waterlooville shops",100,17,720,"","English / United Kingdom"
18,"Not ranked","schools in waterlooville",100,37,260,"","English / United Kingdom"
19,"Not ranked","takeaways waterlooville",100,12,260,"","English / United Kingdom"
20,"Not ranked","widley",100,31,1000,"","English / United Kingdom"
21,"Not ranked","houses for sale waterlooville",100,18,3600,"","English / United Kingdom"
22,"Not ranked","handyman waterlooville",100,15,70,"","English / United Kingdom"
23,"Not ranked","fish and chips waterlooville",100,15,320,"","English / United Kingdom"
24,"Not ranked","removals waterlooville",100,15,140,"","English / United Kingdom"
25,"Not ranked","purbrook",100,44,1900,"","English / United Kingdom"
26,"Not ranked","rental properties waterlooville",100,29,30,"","English / United Kingdom"
27,"Not ranked","cafes waterlooville",100,19,390,"","English / United Kingdom"
28,"Pending","waterlooville used cars",null,24,210,"","English / United Kingdom"
29,"Not ranked","waterlooville news",100,20,480,"","English / United Kingdom"
30,"Pending","waterlooville car sales",null,26,260,"","English / United Kingdom"
31,"Not ranked","waterlooville high street",100,28,90,"","English / United Kingdom"
32,"Pending","waterlooville massage",null,0,590,"","English / United Kingdom"
33,"Pending","waterlooville takeaway",null,7,260,"","English / United Kingdom"
34,"Pending","waterlooville retail park",null,16,170,"","English / United Kingdom"
35,"Pending","waterlooville restaurants",null,14,880,"","English / United Kingdom"
36,"Not ranked","pet shops waterlooville",100,18,70,"","English / United Kingdom"
37,"Not ranked","waterlooville asda",100,23,2900,"","English / United Kingdom"
38,"Pending","waterlooville dentist",null,28,480,"","English / United Kingdom"
39,"Pending","waterlooville football club",null,47,6600,"","English / United Kingdom"
40,"Not ranked","nurseries in waterlooville",100,0,260,"","English / United Kingdom"
41,"Not ranked","doctor waterlooville",100,19,210,"","English / United Kingdom"
42,"Not ranked","things to do in waterlooville",100,20,170,"","English / United Kingdom"
43,"Not ranked","pubs in waterlooville",100,26,480,"","English / United Kingdom"
44,"Not ranked","denmead",100,16,8100,"","English / United Kingdom"
45,"Not ranked","beauty salon waterlooville",100,18,140,"","English / United Kingdom"
46,"Not ranked","waterlooville new builds",100,27,210,"","English / United Kingdom"
47,"Pending","waterlooville care home",null,0,390,"","English / United Kingdom"
48,"Pending","waterlooville spa",null,23,170,"","English / United Kingdom"
49,"Not ranked","cowplain",100,40,2400,"","English / United Kingdom"
50,"Not ranked","car hire waterlooville",100,18,390,"","English / United Kingdom"
51,"Pending","waterlooville chinese takeaway",null,0,390,"","English / United Kingdom"
52,"Pending","waterlooville garden centre",null,16,170,"","English / United Kingdom"
53,"Not ranked","hairdresser waterlooville",100,23,1000,"","English / United Kingdom"
54,"Not ranked","driving instructor waterlooville",100,10,110,"","English / United Kingdom"
55,"Not ranked","leigh park",100,29,4400,"","English / United Kingdom"
56,"Not ranked","waterlooville soft play",100,18,210,"","English / United Kingdom"
57,"Not ranked","clanfield",100,36,12100,"","English / United Kingdom"
58,"Not ranked","gas engineer waterlooville",100,43,20,"","English / United Kingdom"
59,"Not ranked","optician waterlooville",100,0,210,"","English / United Kingdom"
60,"Pending","waterlooville pubs",null,38,170,"","English / United Kingdom"
61,"Not ranked","mortgage advisor waterlooville",100,38,20,"","English / United Kingdom"
62,"Not ranked","waterlooville wickes",100,26,2900,"","English / United Kingdom"
63,"Not ranked","taxi waterlooville",100,14,480,"","English / United Kingdom"
64,"Not ranked","massage waterlooville",100,16,720,"","English / United Kingdom"
65,"Not ranked","waterlooville town centre",100,18,170,"","English / United Kingdom"
66,"Pending","waterlooville gym",null,31,480,"","English / United Kingdom"
67,"Pending","waterlooville florist",null,0,390,"","English / United Kingdom"
68,"Not ranked","horndean",100,40,8100,"","English / United Kingdom"
69,"Pending","waterlooville fish and chips",null,16,320,"","English / United Kingdom"
70,"Pending","waterlooville recycling centre",null,34,1000,"","English / United Kingdom"
71,"Pending","waterlooville storage units",null,6,110,"","English / United Kingdom"
72,"Not ranked","car service waterlooville",100,23,140,"","English / United Kingdom"
73,"Not ranked","waterlooville postcode",100,14,210,"","English / United Kingdom"
74,"Pending","waterlooville shopping centre",null,12,110,"","English / United Kingdom"
75,"Not ranked","waterlooville argos",100,0,2400,"","English / United Kingdom"
76,"Pending","waterlooville self storage",null,21,110,"","English / United Kingdom"
77,"Not ranked","car wash waterlooville",100,12,170,"","English / United Kingdom"
78,"Pending","waterlooville skip hire",null,11,320,"","English / United Kingdom"
